SEDE_ATENCION|DISTRITO_ATENCION|PROVINCIA_ATENCION|DEPARTAMENTO_ATENCION|CALIDAD MIGRATORIA|SEXO|EDAD|PROVINCIA_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD|ESTADO_CIVIL|ANIO_TRAMITE|MES_TRAMITE|CANTIDAD|FECHA_PROCESO
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FORMACION TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|ALEMANA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|TRABAJADOR RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|ALEMANA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FORMACION RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|ALEMANA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|MERCOSUR TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|ARGENTINA|SOLTERO(A)|2025|AGOSTO|2|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|MERCOSUR TEMPORAL|FEMENINO|MENOR DE EDAD (0 A 17 AÑOS)|AREQUIPA|AREQUIPA|ARGENTINA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|RELIGIOSO RESIDENTE|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|CARAVELI|AREQUIPA|ARGENTINA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|ESTATUTO MIGRATORIO ANDINO-TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BOLIVIANA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|MERCOSUR TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BOLIVIANA|SOLTERO(A)|2025|AGOSTO|9|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|FORMACION TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BOLIVIANA|SOLTERO(A)|2025|AGOSTO|1|2025-10-14
AREQUIPA|AREQUIPA|AREQUIPA|AREQUIPA|MERCOSUR TEMPORAL|FEMENINO|MAYOR DE EDAD (18 AÑOS A MÁS)|AREQUIPA|AREQUIPA|BOLIVIANA|CASADO(A)|2025|AGOSTO|2|2025-10-14
